"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"92",1981-05-26T00:00:00.000Z,1981-05-26T00:00:00.000Z,"Perche point par point",0.488,0.661,2022-08-01T12:41:51.000Z
"188",1990-05-14T00:00:00.000Z,1990-05-14T00:00:00.000Z,"Perche point par point",0.225,0.048,2022-08-01T12:40:47.000Z
"91",1981-04-27T00:00:00.000Z,1981-04-27T00:00:00.000Z,"Perche point par point",0.4,0.436,2022-08-01T12:41:52.000Z
"589",2025-04-24T09:10:00.000Z,2025-04-24T09:26:00.000Z,"Perche point par point",0.505,0.335,2025-04-28T07:56:07.000Z
"186",1990-02-20T00:00:00.000Z,1990-02-20T00:00:00.000Z,"Perche point par point",0.335,0.342,2022-08-01T12:40:48.000Z
"586",2024-11-15T09:20:00.000Z,2024-11-15T09:46:00.000Z,"Mesure par ADCP",0.585,0.28300000000000003,2025-04-28T07:56:07.000Z
"584",2024-09-19T10:55:00.000Z,2024-09-19T11:12:00.000Z,"Perche point par point",0.34800000000000003,0.105,2025-04-28T07:56:08.000Z
"583",2024-09-02T12:14:00.000Z,2024-09-02T12:26:00.000Z,"Mesure par ADCP",0.301,0.08,2025-04-28T07:56:08.000Z
"582",2024-09-02T11:45:00.000Z,2024-09-02T12:05:00.000Z,"Perche point par point",0.301,0.083,2025-04-28T07:56:08.000Z
"582",2024-08-14T13:43:00.000Z,2024-08-14T14:14:00.000Z,"Perche point par point",0.291,0.057,2025-04-28T07:56:09.000Z
"581",2024-07-09T08:00:00.000Z,2024-07-09T08:15:00.000Z,"Mesure par ADCP",0.488,0.28700000000000003,2025-04-28T07:56:09.000Z
"573",2023-09-21T10:10:00.000Z,2023-09-21T10:25:00.000Z,"Perche point par point",0.262,0.036000000000000004,2024-08-26T13:07:09.000Z
"571",2023-08-02T10:04:00.000Z,2023-08-02T10:15:00.000Z,"Perche point par point",0.254,0.029,2024-08-26T13:07:09.000Z
"570",2023-08-02T09:30:00.000Z,2023-08-02T09:58:00.000Z,"Perche point par point",0.254,0.023,2024-08-26T13:07:09.000Z
"181",1989-10-02T00:00:00.000Z,1989-10-02T00:00:00.000Z,"Perche point par point",0.23800000000000002,0.06,2022-08-01T12:40:51.000Z
"277",1998-05-05T14:35:00.000Z,,"Perche point par point",0.465,0.5670000000000001,2022-08-01T12:39:44.000Z
"180",1989-09-04T00:00:00.000Z,1989-09-04T00:00:00.000Z,"Perche point par point",0.22,0.029,2022-08-01T12:40:52.000Z
"90",1981-03-30T00:00:00.000Z,1981-03-30T00:00:00.000Z,"Perche point par point",0.458,0.673,2022-08-01T12:41:52.000Z
"16",1974-05-03T00:00:00.000Z,1974-05-03T00:00:00.000Z,"Perche point par point",0.2,0.246,2022-08-01T12:42:41.000Z
"366",2005-09-20T14:32:00.000Z,,"Perche point par point",0.253,0.24,2022-08-01T12:38:47.000Z
"276",1998-04-07T15:40:00.000Z,,"Perche point par point",0.84,2,2022-08-01T12:39:45.000Z
"179",1989-07-26T00:00:00.000Z,1989-07-26T00:00:00.000Z,"Perche point par point",0.21,0.018000000000000002,2022-08-01T12:40:53.000Z
"89",1981-02-26T00:00:00.000Z,1981-02-26T00:00:00.000Z,"Perche point par point",0.428,0.645,2022-08-01T12:41:53.000Z
"15",1974-04-04T00:00:00.000Z,1974-04-04T00:00:00.000Z,"Perche point par point",0.315,0.505,2022-08-01T12:42:42.000Z
"365",2005-07-11T10:20:00.000Z,,"Perche point par point",0.3,0.925,2022-08-01T12:38:47.000Z
"275",1998-02-13T09:40:00.000Z,,"Perche point par point",0.34600000000000003,0.362,2022-08-01T12:39:45.000Z
"178",1989-06-27T00:00:00.000Z,1989-06-27T00:00:00.000Z,"Perche point par point",0.225,0.037,2022-08-01T12:40:53.000Z
"88",1981-01-06T00:00:00.000Z,,"Perche point par point",0.5720000000000001,1.4000000000000001,2022-08-01T12:41:54.000Z
"14",1974-03-22T00:00:00.000Z,,"Perche point par point",0.7000000000000001,2.5500000000000003,2022-08-01T12:42:43.000Z
"274",1998-01-13T09:45:00.000Z,,"Perche point par point",0.425,0.627,2022-08-01T12:39:46.000Z
"177",1989-06-13T00:00:00.000Z,1989-06-13T00:00:00.000Z,"Perche point par point",0.275,0.126,2022-08-01T12:40:54.000Z
"87",1980-10-14T00:00:00.000Z,,"Perche point par point",0.32,0.181,2022-08-01T12:41:54.000Z
"13",1974-03-06T00:00:00.000Z,,"Perche point par point",0.272,0.421,2022-08-01T12:42:43.000Z
"363",2005-05-02T11:25:00.000Z,,"Débit mesuré directement",0.385,0.267,2022-08-01T12:38:49.000Z
"273",1997-12-16T10:35:00.000Z,,"Perche point par point",0.338,0.293,2022-08-01T12:39:47.000Z
"176",1989-05-17T00:00:00.000Z,1989-05-17T00:00:00.000Z,"Perche point par point",0.322,0.301,2022-08-01T12:40:55.000Z
"86",1980-09-15T00:00:00.000Z,1980-09-15T00:00:00.000Z,"Perche point par point",0.302,0.121,2022-08-01T12:41:55.000Z
"12",1974-01-10T00:00:00.000Z,,"Perche point par point",0.43,0.801,2022-08-01T12:42:44.000Z
"362",2005-03-31T15:40:00.000Z,,"Débit mesuré directement",0.84,1.84,2022-08-01T12:38:49.000Z
"272",1997-11-20T11:00:00.000Z,,"Perche point par point",0.279,0.163,2022-08-01T12:39:47.000Z
"175",1989-04-19T00:00:00.000Z,1989-04-19T00:00:00.000Z,"Perche point par point",0.35000000000000003,0.364,2022-08-01T12:40:55.000Z
"361",2005-02-21T11:05:00.000Z,,"Perche point par point",0.514,0.5670000000000001,2022-08-01T12:38:50.000Z
"174",1989-03-21T00:00:00.000Z,1989-03-21T00:00:00.000Z,"Perche point par point",0.4,0.647,2022-08-01T12:40:56.000Z
"360",2005-01-17T10:15:00.000Z,,"Perche point par point",0.418,0.308,2022-08-01T12:38:51.000Z
"271",1997-10-20T10:37:00.000Z,,"Perche point par point",0.234,0.0551,2022-08-01T12:39:48.000Z
"172",1989-01-25T00:00:00.000Z,1989-01-25T00:00:00.000Z,"Perche point par point",0.332,0.319,2022-08-01T12:40:57.000Z
"85",1980-08-19T00:00:00.000Z,1980-08-19T00:00:00.000Z,"Perche point par point",0.312,0.132,2022-08-01T12:41:55.000Z
"11",1973-12-10T00:00:00.000Z,1973-12-10T00:00:00.000Z,"Perche point par point",0.23,0.262,2022-08-01T12:42:45.000Z
"453",2012-08-14T12:00:00.000Z,2012-08-14T12:20:00.000Z,"Perche point par point",0.268,0.023,2022-08-01T12:37:49.000Z
"359",2004-12-13T10:40:00.000Z,,"Perche point par point",0.34700000000000003,0.125,2022-08-01T12:38:51.000Z
"270",1997-09-24T15:10:00.000Z,,"Perche point par point",0.221,0.0357,2022-08-01T12:39:48.000Z
"171",1988-12-28T00:00:00.000Z,,"Perche point par point",0.33,0.297,2022-08-01T12:40:58.000Z
"84",1980-07-23T00:00:00.000Z,1980-07-23T00:00:00.000Z,"Perche point par point",0.33,0.183,2022-08-01T12:41:56.000Z
"83",1980-06-23T00:00:00.000Z,1980-06-23T00:00:00.000Z,"Perche point par point",0.358,0.244,2022-08-01T12:41:57.000Z
"82",1980-05-28T00:00:00.000Z,,"Perche point par point",0.375,0.314,2022-08-01T12:41:57.000Z
"358",2004-11-08T10:10:00.000Z,,"Perche point par point",0.304,0.074,2022-08-01T12:38:52.000Z
"267",1997-07-01T09:40:00.000Z,,"Perche point par point",0.635,1.28,2022-08-01T12:39:50.000Z
"451",2012-08-02T09:50:00.000Z,2012-08-02T10:33:00.000Z,"Perche point par point",0.355,0.061,2022-08-01T12:37:51.000Z
"450",2012-07-03T13:20:00.000Z,2012-07-03T13:50:00.000Z,"Perche point par point",0.418,0.10200000000000001,2022-08-01T12:37:51.000Z
"357",2004-10-05T10:20:00.000Z,,"Perche point par point",0.281,0.044,2022-08-01T12:38:53.000Z
"266",1997-06-04T14:45:00.000Z,,"Perche point par point",0.262,0.135,2022-08-01T12:39:51.000Z
"166",1988-06-15T00:00:00.000Z,1988-06-15T00:00:00.000Z,"Perche point par point",0.37,0.441,2022-08-01T12:41:02.000Z
"81",1980-04-29T00:00:00.000Z,,"Perche point par point",0.395,0.397,2022-08-01T12:41:58.000Z
"10",1973-11-16T00:00:00.000Z,1973-11-16T00:00:00.000Z,"Perche point par point",0.2,0.171,2022-08-01T12:42:45.000Z
"165",1988-05-16T00:00:00.000Z,1988-05-16T00:00:00.000Z,"Perche point par point",0.368,0.467,2022-08-01T12:41:02.000Z
"449",2012-06-06T12:15:00.000Z,2012-06-06T12:40:00.000Z,"Perche point par point",0.45,0.17200000000000001,2022-08-01T12:37:52.000Z
"356",2004-08-31T10:00:00.000Z,,"Perche point par point",0.356,0.115,2022-08-01T12:38:53.000Z
"265",1997-05-05T15:35:00.000Z,,"Perche point par point",0.272,0.16,2022-08-01T12:39:52.000Z
"164",1988-04-19T00:00:00.000Z,1988-04-19T00:00:00.000Z,"Perche point par point",0.41500000000000004,0.676,2022-08-01T12:41:03.000Z
"80",1980-04-01T00:00:00.000Z,,"Perche point par point",0.552,1.48,2022-08-01T12:41:59.000Z
"9",1973-10-18T00:00:00.000Z,1973-10-18T00:00:00.000Z,"Perche point par point",0.14,0.07200000000000001,2022-08-01T12:42:46.000Z
"448",2012-04-25T13:55:00.000Z,2012-04-25T14:05:00.000Z,"Mesure par ADCP",0.7020000000000001,0.719,2022-08-01T12:37:53.000Z
"264",1997-04-08T10:50:00.000Z,,"Perche point par point",0.312,0.278,2022-08-01T12:39:52.000Z
"163",1988-03-24T00:00:00.000Z,1988-03-24T00:00:00.000Z,"Perche point par point",0.465,0.884,2022-08-01T12:41:04.000Z
"79",1980-03-03T00:00:00.000Z,1980-03-03T00:00:00.000Z,"Perche point par point",0.46,0.764,2022-08-01T12:41:59.000Z
"8",1973-09-18T00:00:00.000Z,,"Perche point par point",0.05,0.02,2022-08-01T12:42:47.000Z
"354",2004-06-22T10:10:00.000Z,,"Perche point par point",0.375,0.137,2022-08-01T12:38:54.000Z
"263",1997-03-10T15:50:00.000Z,,"Perche point par point",0.385,0.577,2022-08-01T12:39:53.000Z
"162",1988-02-24T00:00:00.000Z,1988-02-24T00:00:00.000Z,"Perche point par point",0.495,1.1,2022-08-01T12:41:04.000Z
"78",1980-02-04T00:00:00.000Z,1980-02-04T00:00:00.000Z,"Perche point par point",0.975,4,2022-08-01T12:42:00.000Z
"7",1973-08-21T00:00:00.000Z,,"Perche point par point",0.065,0.025,2022-08-01T12:42:47.000Z
"353",2004-05-17T10:30:00.000Z,,"Perche point par point",0.5630000000000001,0.427,2022-08-01T12:38:55.000Z
"262",1997-02-10T11:08:00.000Z,,"Perche point par point",0.335,0.393,2022-08-01T12:39:54.000Z
"161",1988-02-12T00:00:00.000Z,1988-02-12T00:00:00.000Z,"Saumon par intégration",1.34,4.71,2022-08-01T12:41:05.000Z
"77",1980-01-08T00:00:00.000Z,1980-01-08T00:00:00.000Z,"Perche point par point",0.49,0.894,2022-08-01T12:42:00.000Z
"6",1973-06-27T00:00:00.000Z,1973-06-27T00:00:00.000Z,"Perche point par point",0.15,0.11,2022-08-01T12:42:48.000Z
"445",2012-01-25T08:45:00.000Z,2012-01-25T09:00:00.000Z,"Mesure par ADCP",0.5650000000000001,0.486,2022-08-01T12:37:55.000Z
"261",1997-01-14T14:40:00.000Z,,"Perche point par point",0.35000000000000003,0.423,2022-08-01T12:39:54.000Z
"160",1988-01-25T00:00:00.000Z,1988-01-25T00:00:00.000Z,"Perche point par point",0.99,3.06,2022-08-01T12:41:06.000Z
"76",1979-09-17T00:00:00.000Z,1979-09-17T00:00:00.000Z,"Perche point par point",0.278,0.052000000000000005,2022-08-01T12:42:01.000Z
"5",1973-05-28T00:00:00.000Z,1973-05-28T00:00:00.000Z,"Perche point par point",0.17,0.188,2022-08-01T12:42:49.000Z
"351",2004-03-09T11:10:00.000Z,,"Perche point par point",0.644,0.664,2022-08-01T12:38:56.000Z
"260",1996-12-17T11:20:00.000Z,,"Perche point par point",0.388,0.609,2022-08-01T12:39:55.000Z
"159",1987-12-29T00:00:00.000Z,1987-12-29T00:00:00.000Z,"Perche point par point",0.435,0.761,2022-08-01T12:41:06.000Z
"75",1979-07-23T00:00:00.000Z,1979-07-23T00:00:00.000Z,"Perche point par point",0.33,0.154,2022-08-01T12:42:02.000Z
"4",1973-05-03T00:00:00.000Z,1973-05-03T00:00:00.000Z,"Perche point par point",0.24,0.422,2022-08-01T12:42:49.000Z
"155",1987-07-16T00:00:00.000Z,1987-07-16T00:00:00.000Z,"Perche point par point",0.445,0.637,2022-08-01T12:41:09.000Z
"350",2004-02-03T10:25:00.000Z,,"Perche point par point",0.736,1.02,2022-08-01T12:38:57.000Z
"259",1996-11-18T10:45:00.000Z,,"Perche point par point",0.289,0.254,2022-08-01T12:39:56.000Z
"158",1987-11-03T00:00:00.000Z,1987-11-03T00:00:00.000Z,"Perche point par point",0.398,0.547,2022-08-01T12:41:07.000Z
"73",1979-05-02T00:00:00.000Z,1979-05-02T00:00:00.000Z,"Perche point par point",0.515,1.07,2022-08-01T12:42:03.000Z
"442",2011-10-25T13:30:00.000Z,2011-10-25T14:00:00.000Z,"Perche point par point",0.299,0.044,2022-08-01T12:37:56.000Z
"349",2003-12-29T10:15:00.000Z,,"Perche point par point",0.541,0.422,2022-08-01T12:38:58.000Z
"258",1996-10-22T11:00:00.000Z,,"Perche point par point",0.227,0.0439,2022-08-01T12:39:56.000Z
"157",1987-09-07T00:00:00.000Z,1987-09-07T00:00:00.000Z,"Perche point par point",0.332,0.315,2022-08-01T12:41:08.000Z
"441",2011-09-06T09:05:00.000Z,2011-09-06T09:45:00.000Z,"Perche point par point",0.26,0.014,2022-08-01T12:37:57.000Z
"348",2003-11-24T10:10:00.000Z,,"Perche point par point",0.47800000000000004,0.151,2022-08-01T12:38:58.000Z
"257",1996-09-24T10:30:00.000Z,,"Perche point par point",0.17500000000000002,0.0017,2022-08-01T12:39:57.000Z
"156",1987-08-11T00:00:00.000Z,1987-08-11T00:00:00.000Z,"Perche point par point",0.34,0.312,2022-08-01T12:41:08.000Z
"74",1979-06-25T00:00:00.000Z,1979-06-25T00:00:00.000Z,"Perche point par point",0.382,0.311,2022-08-01T12:42:02.000Z
"3",1973-03-07T00:00:00.000Z,1973-03-07T00:00:00.000Z,"Perche point par point",0.23,0.406,2022-08-01T12:42:50.000Z
"440",2011-08-09T08:50:00.000Z,2011-08-09T09:10:00.000Z,"Perche point par point",0.258,0.016,2022-08-01T12:37:58.000Z
"347",2003-10-21T10:10:00.000Z,,"Perche point par point",0.305,0.081,2022-08-01T12:38:59.000Z
"256",1996-07-29T10:30:00.000Z,,"Débit mesuré directement",0.17300000000000001,0.001,2022-08-01T12:39:58.000Z
"2",1973-02-07T00:00:00.000Z,,"Perche point par point",0.2,0.322,2022-08-01T12:42:51.000Z
"439",2011-07-26T07:15:00.000Z,2011-07-26T07:40:00.000Z,"Perche point par point",0.23,0.01,2022-08-01T12:37:58.000Z
"346",2003-07-17T10:10:00.000Z,,"Perche point par point",0.26,0.026000000000000002,2022-08-01T12:39:00.000Z
"255",1996-07-01T10:30:00.000Z,,"Perche point par point",0.18,0.005,2022-08-01T12:39:58.000Z
"154",1987-06-15T00:00:00.000Z,1987-06-15T00:00:00.000Z,"Perche point par point",0.38,0.466,2022-08-01T12:41:10.000Z
"72",1979-04-03T00:00:00.000Z,1979-04-03T00:00:00.000Z,"Perche point par point",0.67,2.0300000000000002,2022-08-01T12:42:04.000Z
"1",1973-01-09T00:00:00.000Z,,"Perche point par point",0.17,0,2022-08-01T12:42:51.000Z
"438",2011-06-28T12:40:00.000Z,2011-06-28T12:45:00.000Z,"Autres",0.209,0.006,2022-08-01T12:37:59.000Z
"345",2003-06-23T10:10:00.000Z,,"Perche point par point",0.34400000000000003,0.148,2022-08-01T12:39:00.000Z
"254",1996-06-04T14:50:00.000Z,,"Perche point par point",0.255,0.136,2022-08-01T12:39:59.000Z
"153",1987-03-25T00:00:00.000Z,1987-03-25T00:00:00.000Z,"Perche point par point",0.495,0.968,2022-08-01T12:41:10.000Z
"71",1979-03-06T00:00:00.000Z,1979-03-06T00:00:00.000Z,"Perche point par point",0.495,0.9,2022-08-01T12:42:04.000Z
"437",2011-06-07T14:30:00.000Z,2011-06-07T14:50:00.000Z,"Perche point par point",0.292,0.061,2022-08-01T12:38:00.000Z
"344",2003-06-12T10:45:00.000Z,,"Perche point par point",0.402,0.28800000000000003,2022-08-01T12:39:01.000Z
"253",1996-05-06T10:15:00.000Z,,"Perche point par point",0.275,0.194,2022-08-01T12:39:59.000Z
"152",1987-02-25T00:00:00.000Z,1987-02-25T00:00:00.000Z,"Perche point par point",0.465,0.839,2022-08-01T12:41:11.000Z
"70",1979-02-05T00:00:00.000Z,1979-02-05T00:00:00.000Z,"Perche point par point",0.64,1.76,2022-08-01T12:42:05.000Z
"436",2011-05-20T11:50:00.000Z,2011-05-20T12:10:00.000Z,"Perche point par point",0.248,0.019,2022-08-01T12:38:00.000Z
"343",2003-05-06T10:10:00.000Z,,"Perche point par point",0.916,1.54,2022-08-01T12:39:01.000Z
"252",1996-04-09T10:40:00.000Z,,"Perche point par point",0.325,0.308,2022-08-01T12:40:00.000Z
"151",1987-01-28T00:00:00.000Z,1987-01-28T00:00:00.000Z,"Perche point par point",0.395,0.528,2022-08-01T12:41:12.000Z
"69",1978-12-12T00:00:00.000Z,1978-12-12T00:00:00.000Z,"Perche point par point",0.37,0.19,2022-08-01T12:42:06.000Z
"342",2003-04-01T14:55:00.000Z,,"Perche point par point",0.41100000000000003,0.313,2022-08-01T12:39:02.000Z
"251",1996-03-12T10:40:00.000Z,,"Perche point par point",0.405,0.642,2022-08-01T12:40:01.000Z
"150",1986-12-04T00:00:00.000Z,1986-12-04T00:00:00.000Z,"Perche point par point",0.35000000000000003,0.328,2022-08-01T12:41:12.000Z
"68",1978-11-13T00:00:00.000Z,1978-11-13T00:00:00.000Z,"Perche point par point",0.31,0.076,2022-08-01T12:42:06.000Z
"434",2011-04-19T12:15:00.000Z,2011-04-19T12:35:00.000Z,"Mesure par ADCP",0.39,0.20600000000000002,2022-08-01T12:38:02.000Z
"250",1996-02-13T10:55:00.000Z,,"Perche point par point",0.593,1.76,2022-08-01T12:40:01.000Z
"149",1986-11-03T00:00:00.000Z,1986-11-03T00:00:00.000Z,"Perche point par point",0.41500000000000004,0.608,2022-08-01T12:41:13.000Z
"67",1978-10-16T00:00:00.000Z,1978-10-16T00:00:00.000Z,"Perche point par point",0.325,0.095,2022-08-01T12:42:07.000Z
"340",2003-01-20T10:10:00.000Z,,"Perche point par point",0.608,0.8190000000000001,2022-08-01T12:39:03.000Z
"249",1996-01-15T11:00:00.000Z,,"Perche point par point",0.47500000000000003,0.9520000000000001,2022-08-01T12:40:02.000Z
"148",1986-10-06T00:00:00.000Z,1986-10-06T00:00:00.000Z,"Perche point par point",0.28200000000000003,0.105,2022-08-01T12:41:14.000Z
"66",1978-09-20T00:00:00.000Z,1978-09-20T00:00:00.000Z,"Perche point par point",0.318,0.09,2022-08-01T12:42:08.000Z
"432",2011-01-18T14:15:00.000Z,2011-01-18T14:45:00.000Z,"Mesure par ADCP",0.55,0.5670000000000001,2022-08-01T12:38:03.000Z
"248",1995-12-18T10:10:00.000Z,,"Perche point par point",0.3,0.253,2022-08-01T12:40:03.000Z
"147",1986-08-12T00:00:00.000Z,1986-08-12T00:00:00.000Z,"Perche point par point",0.23,0.02,2022-08-01T12:41:15.000Z
"65",1978-07-24T00:00:00.000Z,1978-07-24T00:00:00.000Z,"Perche point par point",0.325,0.125,2022-08-01T12:42:09.000Z
"431",2010-12-07T13:30:00.000Z,2010-12-07T13:50:00.000Z,"Mesure par ADCP",0.79,1.16,2022-08-01T12:38:04.000Z
"247",1995-11-21T11:45:00.000Z,,"Perche point par point",0.335,0.311,2022-08-01T12:40:03.000Z
"146",1986-07-15T00:00:00.000Z,1986-07-15T00:00:00.000Z,"Perche point par point",0.255,0.053,2022-08-01T12:41:15.000Z
"64",1978-06-27T00:00:00.000Z,1978-06-27T00:00:00.000Z,"Perche point par point",0.4,0.309,2022-08-01T12:42:10.000Z
"430",2010-10-07T08:15:00.000Z,2010-10-07T08:50:00.000Z,"Perche point par point",0.28300000000000003,0.047,2022-08-01T12:38:04.000Z
"337",2002-10-16T16:00:00.000Z,,"Autres",0.28200000000000003,0.04,2022-08-01T12:39:05.000Z
"246",1995-10-24T10:40:00.000Z,,"Perche point par point",0.268,0.10300000000000001,2022-08-01T12:40:04.000Z
"145",1986-06-19T00:00:00.000Z,1986-06-19T00:00:00.000Z,"Perche point par point",0.32,0.226,2022-08-01T12:41:16.000Z
"63",1978-05-29T00:00:00.000Z,1978-05-29T00:00:00.000Z,"Perche point par point",0.448,0.47100000000000003,2022-08-01T12:42:10.000Z
"336",2002-09-24T10:20:00.000Z,,"Perche point par point",0.275,0.044,2022-08-01T12:39:06.000Z
"245",1995-09-25T10:30:00.000Z,,"Perche point par point",0.272,0.126,2022-08-01T12:40:05.000Z
"144",1986-05-20T00:00:00.000Z,1986-05-20T00:00:00.000Z,"Perche point par point",0.4,0.516,2022-08-01T12:41:17.000Z
"62",1978-04-04T00:00:00.000Z,1978-04-04T00:00:00.000Z,"Perche point par point",0.748,2.5,2022-08-01T12:42:11.000Z
"335",2002-09-02T15:35:00.000Z,,"Perche point par point",0.278,0.041,2022-08-01T12:39:07.000Z
"244",1995-08-28T10:30:00.000Z,,"Perche point par point",0.21,0.0135,2022-08-01T12:40:06.000Z
"143",1986-04-21T00:00:00.000Z,1986-04-21T00:00:00.000Z,"Perche point par point",0.62,1.59,2022-08-01T12:41:17.000Z
"61",1978-03-07T00:00:00.000Z,1978-03-07T00:00:00.000Z,"Perche point par point",0.578,1.22,2022-08-01T12:42:11.000Z
"427",2010-07-20T10:00:00.000Z,2010-07-20T10:20:00.000Z,"Perche point par point",0.24,0.015,2022-08-01T12:38:06.000Z
"334",2002-08-12T09:50:00.000Z,,"Perche point par point",0.22,0.005,2022-08-01T12:39:07.000Z
"243",1995-08-01T11:00:00.000Z,,"Perche point par point",0.217,0.0183,2022-08-01T12:40:06.000Z
"142",1986-03-25T00:00:00.000Z,1986-03-25T00:00:00.000Z,"Perche point par point",0.5700000000000001,1.41,2022-08-01T12:41:18.000Z
"60",1978-02-07T00:00:00.000Z,1978-02-07T00:00:00.000Z,"Perche point par point",0.665,1.79,2022-08-01T12:42:12.000Z
"333",2002-07-22T14:45:00.000Z,,"Autres",0.262,0.025,2022-08-01T12:39:08.000Z
"242",1995-07-04T10:35:00.000Z,,"Perche point par point",0.325,0.148,2022-08-01T12:40:07.000Z
"141",1986-03-06T00:00:00.000Z,1986-03-06T00:00:00.000Z,"Perche point par point",0.935,2.67,2022-08-01T12:41:19.000Z
"59",1978-01-25T00:00:00.000Z,1978-01-25T00:00:00.000Z,"Perche point par point",1.46,7.92,2022-08-01T12:42:13.000Z
"332",2002-07-03T09:40:00.000Z,,"Perche point par point",0.272,0.044,2022-08-01T12:39:08.000Z
"241",1995-06-07T10:10:00.000Z,,"Perche point par point",0.46,0.47000000000000003,2022-08-01T12:40:08.000Z
"140",1986-01-29T00:00:00.000Z,1986-01-29T00:00:00.000Z,"Perche point par point",0.392,0.531,2022-08-01T12:41:19.000Z
"58",1978-01-09T00:00:00.000Z,1978-01-09T00:00:00.000Z,"Perche point par point",0.48,0.58,2022-08-01T12:42:14.000Z
"424",2010-06-07T14:00:00.000Z,2010-06-07T14:10:00.000Z,"Perche point par point",0.28800000000000003,0.057,2022-08-01T12:38:08.000Z
"331",2002-06-11T10:30:00.000Z,,"Perche point par point",0.373,0.203,2022-08-01T12:39:09.000Z
"240",1995-05-09T10:50:00.000Z,,"Perche point par point",0.425,0.378,2022-08-01T12:40:09.000Z
"139",1985-12-04T00:00:00.000Z,,"Perche point par point",0.298,0.133,2022-08-01T12:41:20.000Z
"57",1977-12-13T00:00:00.000Z,1977-12-13T00:00:00.000Z,"Perche point par point",0.555,1.05,2022-08-01T12:42:14.000Z
"330",2002-05-22T10:15:00.000Z,,"Perche point par point",0.385,0.23600000000000002,2022-08-01T12:39:10.000Z
"239",1995-04-11T09:55:00.000Z,,"Perche point par point",0.485,0.644,2022-08-01T12:40:10.000Z
"138",1985-11-05T00:00:00.000Z,1985-11-05T00:00:00.000Z,"Perche point par point",0.29,0.111,2022-08-01T12:41:21.000Z
"56",1977-11-14T00:00:00.000Z,1977-11-14T00:00:00.000Z,"Perche point par point",0.468,0.495,2022-08-01T12:42:15.000Z
"329",2002-04-16T10:15:00.000Z,,"Perche point par point",0.385,0.23900000000000002,2022-08-01T12:39:10.000Z
"238",1995-03-15T11:30:00.000Z,,"Perche point par point",0.59,1.02,2022-08-01T12:40:11.000Z
"137",1985-10-08T00:00:00.000Z,1985-10-08T00:00:00.000Z,"Perche point par point",0.262,0.048,2022-08-01T12:41:21.000Z
"55",1977-10-18T00:00:00.000Z,1977-10-18T00:00:00.000Z,"Perche point par point",0.37,0.177,2022-08-01T12:42:15.000Z
"420",2010-03-25T10:35:00.000Z,2010-03-25T11:00:00.000Z,"Perche point par point",0.47800000000000004,0.293,2022-08-01T12:38:11.000Z
"328",2002-04-04T11:00:00.000Z,,"Perche point par point",0.456,0.40900000000000003,2022-08-01T12:39:11.000Z
"237",1995-02-13T15:20:00.000Z,,"Perche point par point",0.675,1.2,2022-08-01T12:40:11.000Z
"136",1985-09-12T00:00:00.000Z,1985-09-12T00:00:00.000Z,"Perche point par point",0.27,0.056,2022-08-01T12:41:22.000Z
"54",1977-09-20T00:00:00.000Z,1977-09-20T00:00:00.000Z,"Perche point par point",0.365,0.136,2022-08-01T12:42:16.000Z
"327",2002-03-28T10:15:00.000Z,,"Perche point par point",0.54,0.556,2022-08-01T12:39:12.000Z
"236",1995-01-16T10:10:00.000Z,,"Perche point par point",0.5650000000000001,0.73,2022-08-01T12:40:12.000Z
"418",2010-01-06T08:00:00.000Z,2010-01-06T08:40:00.000Z,"Perche point par point",0.4,0.28800000000000003,2022-08-01T12:38:13.000Z
"326",2002-03-12T15:15:00.000Z,,"Perche point par point",0.547,0.47400000000000003,2022-08-01T12:39:12.000Z
"325",2002-02-06T14:05:00.000Z,,"Perche point par point",0.515,0.523,2022-08-01T12:39:13.000Z
"235",1994-12-20T10:35:00.000Z,,"Perche point par point",0.545,0.668,2022-08-01T12:40:13.000Z
"135",1985-08-14T00:00:00.000Z,1985-08-14T00:00:00.000Z,"Perche point par point",0.28200000000000003,0.124,2022-08-01T12:41:23.000Z
"53",1977-09-15T00:00:00.000Z,1977-09-15T00:00:00.000Z,"Perche point par point",0.365,0.152,2022-08-01T12:42:17.000Z
"416",2009-10-07T07:20:00.000Z,2009-10-07T07:40:00.000Z,"Perche point par point",0.253,0.02,2022-08-01T12:38:14.000Z
"234",1994-12-09T10:10:00.000Z,,"Perche point par point",0.602,0.622,2022-08-01T12:40:14.000Z
"134",1985-07-15T00:00:00.000Z,1985-07-15T00:00:00.000Z,"Perche point par point",0.28800000000000003,0.135,2022-08-01T12:41:23.000Z
"52",1977-08-25T00:00:00.000Z,1977-08-25T00:00:00.000Z,"Perche point par point",0.388,0.246,2022-08-01T12:42:17.000Z
"323",2001-12-10T15:05:00.000Z,,"Perche point par point",0.52,0.487,2022-08-01T12:39:14.000Z
"414",2009-09-03T08:40:00.000Z,2009-09-03T09:00:00.000Z,"Perche point par point",0.225,0.002,2022-08-01T12:38:15.000Z
"233",1994-10-24T10:55:00.000Z,,"Perche point par point",0.35000000000000003,0.139,2022-08-01T12:40:15.000Z
"133",1985-06-18T00:00:00.000Z,1985-06-18T00:00:00.000Z,"Perche point par point",0.36,0.275,2022-08-01T12:41:24.000Z
