noct,nosta,cdatedeb,cdatefin,cmin,cmax,cnum,cnbpt,ccomment,ctype,cdatemaj,cdateenregistrement,cdatecreation,cminp,cmaxp,cnum3,ctest,ccommentpriv
395,310,"01/01/70 00:00:00","01/01/81 00:00:00",10,5160,"C17358",41," ","C",,,,,,,,
396,310,"01/01/81 00:00:00","12/28/81 00:00:00",230,4000,"C17359",24," ","C",,,,,,,,
557,2,"03/16/01 02:00:00","01/14/04 06:00:00",400,1500,"4",12,"DREAL Alsace en 2012 ( DM )","C","12/12/12 08:34:00","12/12/12 08:34:00","10/10/12 11:00:00",,,,,
560,2,"01/01/95 00:00:00","11/13/96 12:00:00",350,1500,"1",19,"
","C","12/12/12 09:11:00","12/12/12 09:11:00","12/07/12 15:00:00",,,,,
561,2,"11/13/96 12:00:00","07/03/00 12:00:00",350,1500,"2",14,"DREAL Alsace en 2012 ( DM )","C","12/12/12 09:16:00","12/12/12 09:16:00","12/07/12 15:00:00",,,,,
570,2,"07/03/00 12:00:00","03/16/01 02:00:00",400,1500,"3",12,"DREAL Alsace en 2012 ( DM )","C","12/13/12 07:33:00","12/13/12 07:33:00","12/10/12 10:00:00",,,,,
578,14,"01/01/95 00:00:00","01/01/00 00:00:00",2300,9000,"WELF9801",10,"Courbe de tarage initiale I.S.L. de 1997 anciennement utiliée sur hydro pour 2011 et 2012","C","01/07/13 10:04:00","01/07/13 10:04:00",,,,"WELF9801",,
656,2,"04/01/07 12:00:00","04/01/08 12:00:00",350,1500,"6",14,"DREAL Alsace en 2012 ( DM )","C","12/12/12 10:03:00","07/25/14 15:33:00","12/12/12 08:00:00",,,,,
397,310,"12/28/81 00:00:00","01/01/84 00:00:00",230,4000,"C17360",18," ","C",,,,,,,,
398,310,"01/01/84 00:00:00","01/01/88 00:00:00",100,4450,"C17361",21," ","C",,,,,,,,
399,310,"01/01/88 00:00:00","01/01/95 00:00:00",60,4500,"C17362",24," ","C",,,,,,,,
400,310,"01/01/95 00:00:00","09/30/03 00:00:00",60,5000,"BLIE9801",24,"COURBE INITIALE DE TARAGE SNS DE 1988","C",,"05/29/07 15:58:00",,,,,,
645,16,"01/01/00 00:00:00","01/02/00 00:00:00",510,6000,"Irstea",96,"CT Irstea.","C","01/24/14 16:44:00","01/28/14 16:46:00","12/05/12 00:00:00",,,,,
524,16,"01/01/95 00:00:00","02/27/97 00:00:00",510,6000,"1",16,"Extrapolation d'après étude Irsteat","C","12/05/12 15:07:00","12/05/12 15:07:00",,,,,,
528,16,"03/22/01 00:00:00","01/21/04 00:00:00",510,6000,"3",17,"Extrapolation d'après étude Irsteat.","C","12/05/12 15:42:00","12/05/12 16:25:00","12/05/12 00:00:00",,,,,
531,16,"01/21/04 00:00:00","12/25/09 00:00:00",510,6000,"4",17,"Extrapolation d'après étude Irsteat.","C","12/06/12 14:48:00","12/06/12 14:48:00","12/05/12 00:00:00",,,,,
534,16,"02/27/97 00:00:00","03/22/01 00:00:00",510,6000,"2",15,"Extrapolation d'après étude Irsteat.","C","12/07/12 09:33:00","12/07/12 09:33:00","12/05/12 00:00:00",,,,,
558,2,"01/14/04 06:00:00","04/01/07 12:00:00",400,1500,"5",12,"DREAL Alsace en 2012 ( DM )","C","12/12/12 08:34:00","12/12/12 08:34:00","12/10/12 10:00:00",,,,,
643,1,"01/01/00 07:00:00","01/02/00 00:00:00",70,6000,"Irstea",92,"CT IRSTEA","C","01/24/14 17:20:00","01/28/14 16:44:00","01/24/14 11:30:00",,,,,
1147,310,"01/00/00 00:00:00","01/01/50 00:00:00",,,"test pont",20,,"C",,"08/06/20 18:14:00","08/06/20 18:14:00",,,,0,
1148,310,"01/01/02 00:00:00","01/01/14 00:00:00",12,5000,"0701",11,"h/q
courbe réhaussée en basses eaux du fait des jaugeages.
quelle en est la cause ? pas le matériel car perches avant 2007 et mixte en 2007.
apport de sédimentation ?
2 cassures repérées à partir du profil en travers : 250 cm (débordement du lit mineur) + 450 (terrain plat constitué de la route et du village). La cassure vers 320 cm visible sur les courbes antérieures est conservée pour le tracé.
Les débits sont relevés à partir de 350 cm car cassure et manque de points de jaugeages.","C","11/19/07 00:00:00","08/06/20 18:34:00","11/15/07 13:37:00",,,,0,
1150,169,"01/01/08 00:00:00","08/10/20 00:00:00",1010,3500,"1",11,"MàJ TH et MD pour cohérence amont aval en sept 2015.","C","08/10/20 18:45:00","08/10/20 18:46:00","10/16/12 00:00:00",,,"1",0,
1156,16,"04/01/18 00:00:00","11/15/19 00:00:00",550,6000,"7",16,"Extrapolation d'après étude Irstea. 
Ajustement en basses eaux.","C","08/11/20 18:00:00","08/11/20 18:18:00","07/01/18 00:00:00",,,"7",0,
1158,13,"09/01/13 00:00:00","03/20/19 10:30:00",180,1400,"3",13,"CT2 modifiée entre 0,3 et 1,2 m pour coller aux jaugeages. La date de début correspond au minimum observé durant l'été 2013 pour assurer la continuité 
des débits entre les 2 cbes pour h<0,3m.","C","03/01/18 11:55:00","09/01/20 13:59:00","10/16/15 00:00:00",,,"3",0,
1177,5,"12/01/17 00:00:00","12/31/50 00:00:00",400,2000,"3",28,"


","C","01/18/18 15:51:00","08/30/21 15:40:00","01/18/18 14:06:00",,,"3",0,
1189,12,"12/31/94 23:00:00","01/01/08 12:00:00",110,3400,"1",19,"CT repris par DREAL Alsace (DM) en 11/2012","C",,"01/31/22 10:58:00",,,,"1",0,
1191,309,"01/01/68 00:00:00","12/31/83 23:00:00",130,1920,"C17318",20,,"C",,"01/31/22 11:15:00",,,,"C17318",0,
1243,19,"02/08/19 08:00:00","01/01/50 00:00:00",1125,3400,"5",21,"Extrapolation pour h>340cm d'après étude Irstea

","C","02/28/19 00:00:00","04/25/22 14:37:00","02/28/19 00:00:00",,,"5 ",0,
1324,308,"01/01/13 00:00:00","12/31/50 00:00:00",1700,3400,"1",9,"Nouvelle courbe basée sur les jaugeages DREAL
Q publié à partir de 1300m3/s suite à demande interne. Tracé moyen pour Q environ 2200m3/s car abaissement du bief de Gambsheim","C","11/27/18 16:35:00","06/13/23 15:49:00","06/01/16 00:00:00",1700,4000,"1",0,
1335,316,"11/15/15 00:00:00","05/23/22 16:15:00",100,1700,"1",17,"





","C","08/25/23 13:26:00","08/25/23 13:37:00","11/24/15 09:40:00",,,"1",0,
1356,16,"11/15/19 00:00:00","01/01/50 00:00:00",550,6000,"8",16,"Extrapolation d'après étude Irstea. 
Ajustement en basses eaux.","C","08/11/20 17:58:00","02/23/24 10:34:00","08/11/20 00:00:00",,,"8",0,
1389,169,"08/10/20 00:00:00","01/01/50 00:00:00",1010,3800,"2",13,,"C","08/10/20 18:38:00","06/04/24 10:16:00","08/10/20 00:00:00",,,"2",0,
1400,1,"08/15/08 00:00:00","09/24/16 00:00:00",400,4400,"1",24,,"C","06/04/24 15:21:00","06/04/24 15:23:00","06/27/14 11:30:00",200,5500,"1",0,
1419,13,"03/20/19 10:30:00","01/01/50 00:00:00",160,1400,"4",11,"nouvelle courbe suite à enlèvement embâcle (ancien) environ 100 m en aval","C","01/01/50 00:00:00","07/19/24 11:13:00","10/16/15 00:00:00",,,"4",0,
1432,315,"02/28/15 00:00:00","02/08/22 11:00:00",50,4250,"1",14,"Extrapolation basée sur bliesbruck pont
","C","08/23/24 11:18:00","08/23/24 11:32:00","03/27/15 00:00:00",,,"1",0,
1433,317,"01/01/18 00:00:00","01/01/49 00:00:00",900,5000,"1",14,"Extrapolation vers le bas pour calcul Q avec corTH
Extrapolation haute en fonction du débit de bliesbruck","C","08/23/24 15:19:00","08/23/24 15:56:00","01/30/19 00:00:00",,,"1",0,
1435,319,"01/01/21 00:00:00","01/01/50 00:00:00",2500,6000,"1",19,"Basée sur la proposition de CT issue du rapport de Torben Gerlach (WSV) d'avril 2022. ","C","09/27/24 15:04:00","09/27/24 15:04:00","02/01/22 16:28:00",,,"1",0,
1456,17,"01/01/94 00:00:00","12/31/50 00:00:00",2800,8300,"1",16,"Courbe construite avec les jaugeages de crue et d'étiage réalisé en partie à Maxau. Remplace les différentes courbes préexistantes.","C","07/25/16 17:17:00","02/24/25 15:10:00","05/27/16 10:30:00",2800,8800,"1",0,
1204,5,"01/01/08 00:00:00","02/15/14 00:00:00",400,1800,"1",23,"Courbe de tarage repris par DREAL Alsace en 2012. La CT existante est correcte et a été affinée.","C","07/25/14 17:07:00","02/04/22 14:02:00","10/05/12 14:00:00",,,"1",0,
1205,5,"02/15/14 00:00:00","12/01/17 00:00:00",400,1800,"2",24,"


","C","06/20/16 15:30:00","02/04/22 14:13:00","10/05/12 14:06:00",,,"2",0,
1221,4,"12/29/01 18:00:00","02/03/21 22:00:00",150,4000,"4",29,"CT tenant compte de l'extrapolation IRSTEA à partir de 4m échelle.
prolongement de la courbe vers le bas suite à l'étiage de 2015","C",,"03/11/22 11:29:00",,,,"4",0,
1224,4,"01/01/95 00:00:00","04/01/99 00:00:00",210,4000,"1",22,"Base courbe de tarage initiale  I.S.L. de 1997. 
Repris en 10/2012 par DREAL Alsace (DM)
Repris en Sept 2015 par MD/TH CT Pour H>340 extrapolation Irstea","C","09/25/15 14:34:00","03/11/22 13:44:00",,,,"1",0,
1226,4,"04/01/99 00:00:00","12/29/01 18:00:00",210,4000,"3",20,"Base courbe de tarage initiale  I.S.L. de 1997. 
Repris en 10/2012 par DREAL Alsace (DM)
Modif en sept 2015 par MD/TH pour H>260 (jaugeage) et pour H>380 (extrapolation Irstea)","C","09/25/15 14:40:00","03/11/22 13:52:00","11/14/12 10:00:00",,,"3",0,
1227,4,"10/30/98 00:00:00","04/01/99 00:00:00",210,4000,"2",16,"Base courbe de tarage initiale  I.S.L. de 1997. 
Repris en 10/2012 par DREAL Alsace (DM)
Plus utilisée dans Banque hydro remplacée par CT 1","C","09/25/15 14:39:00","03/11/22 14:00:00",,,,"2",0,
1232,4,"02/03/21 22:00:00","01/01/50 12:00:00",150,4000,"5 ",17,"CT baratin ajustée pour mieux prendre en compte le plus haut jaugeage.
2022 nouvelle extrapolation M.D suite à étude Papi Sarre 
","C","03/07/22 15:42:00","03/11/22 15:33:00","03/07/22 15:00:00",,,"5",0,
1233,4,"01/01/01 00:00:00","01/01/02 00:00:00",100,5000,"CTbara_inf",100,"h/q Baratin : Qmin","C",,"03/11/22 15:42:00",,,,,0,
1234,4,"01/01/02 00:00:00","01/01/03 00:00:00",100,5000,"CTbara_sup",100,"h/q Baratin : Qmax","C",,"03/11/22 15:47:00",,,,,1,
1235,4,"01/01/03 00:00:00","01/01/04 00:00:00",100,5000,"CTbaratin",100,"h/q Baratin : Qmaxpost","C",,"03/11/22 15:47:00",,,,,1,
